[+] copy_from_user symbols: 224
[+] sweep done: 275382 bl sites, funcs with subs: 17777
[+] copy_from_user call sites: 1271

===== 鏍″噯閿氱偣 =====
__arm64_sys_sched_setaffinity  depth=0x040 (鏈熸湜 0x40) __arm64_sys_sched_setaffinity(0x40)
__arm64_sys_select             depth=0x080 (鏈熸湜 0x1f0) __arm64_sys_select(0x80)

===== 鏍堢洰鏍囧€欓€? 670 涓?=====
func                                           frame  imm      size     depth(s)
bm_status_write                                0x40   sp+0x4   UNKNOWN  
timerslack_ns_write                            0xb0   sp+0x10  UNKNOWN  
proc_coredump_filter_write                     0x70   sp+0x0   UNKNOWN  
proc_loginuid_write                            0x70   sp+0x10  UNKNOWN  
oom_score_adj_write                            0x50   sp+0x8   UNKNOWN  
oom_adj_write                                  0x50   sp+0x8   UNKNOWN  
comm_write                                     0x50   sp+0x8   UNKNOWN  
proc_rsc_svp_write                             0x50   sp+0x8   UNKNOWN  
ext4_ioc_getfsmap                              0x1a0  sp+0x28  0xc0     
fat_generic_ioctl                              0x80   sp+0x10  UNKNOWN  
fuse_conn_congestion_threshold_write           0xc0   sp+0x10  UNKNOWN  
fuse_conn_max_background_write                 0xc0   sp+0x10  UNKNOWN  
fuse_conn_limit_write                          0xc0   sp+0x10  UNKNOWN  
pending_reads_dispatch_ioctl                   0x130  sp+0x58  0x58     
pending_reads_dispatch_ioctl                   0x130  sp+0x58  0x10     
pending_reads_dispatch_ioctl                   0x130  sp+0x58  0x4      
pending_reads_dispatch_ioctl                   0x130  sp+0x58  0x38     
pending_reads_dispatch_ioctl                   0x130  sp+0x58  0x10     
dispatch_ioctl                                 0xb0   sp+0x20  0x10     
dispatch_ioctl                                 0xb0   sp+0x20  0x28     
dispatch_ioctl                                 0xb0   sp+0x10  0x10     
dispatch_ioctl                                 0xb0   sp+0x20  0x20     
incfs_ioctl_enable_verity                      0x1e0  sp+0x90  0x80     
incfs_ioctl_read_verity_metadata               0x90   sp+0x8   0x28     
debugfs_write_file_bool                        0x50   sp+0x4   UNKNOWN  
__f2fs_ioctl                                   0xc0   sp+0x30  0x1c     
__f2fs_ioctl                                   0xc0   sp+0x30  0x18     
__f2fs_ioctl                                   0xc0   sp+0x30  0x20     
__f2fs_ioctl                                   0xc0   sp+0x30  0x8      
__f2fs_ioctl                                   0xc0   sp+0x30  0x8      
__f2fs_ioctl                                   0xc0   sp+0x30  0x10     
__f2fs_ioctl                                   0xc0   sp+0x30  0x18     
__f2fs_ioctl                                   0xc0   sp+0x30  0x2      
blkdev_common_ioctl                            0x80   sp+0x0   0x18     
blkdev_common_ioctl                            0x80   sp+0x0   0x18     
blkdev_common_ioctl                            0x80   sp+0x0   0x18     
blkdev_common_ioctl                            0x80   sp+0x0   0x10     
blkdev_common_ioctl                            0x80   sp+0x0   0x10     
blkdev_common_ioctl                            0x80   sp+0x0   0x10     
blkdev_common_ioctl                            0x80   sp+0x0   0x10     
blk_ioctl_discard                              0x60   sp+0x8   0x10     
blkpg_do_ioctl                                 0x100  sp+0x10  0x98     
scsi_cmd_ioctl                                 0x130  sp+0x68  0x40     
get_sg_io_hdr                                  0x70   sp+0x8   0x40     
bsg_ioctl                                      0x120  sp+0x0   0xa0     
queue_state_write                              0x50   sp+0x8   UNKNOWN  
kstrtoull_from_user                            0x90   sp+0x0   UNKNOWN  
kstrtoul_from_user                             0x90   sp+0x0   UNKNOWN  
kstrtouint_from_user                           0x80   sp+0x10  UNKNOWN  
kstrtou8_from_user                             0x60   sp+0x8   UNKNOWN  
kstrtou16_from_user                            0x70   sp+0x10  UNKNOWN  
kstrtos8_from_user                             0x60   sp+0x8   UNKNOWN  
kstrtos16_from_user                            0x70   sp+0x10  UNKNOWN  
kstrtoll_from_user                             0xa0   sp+0x10  UNKNOWN  
kstrtol_from_user                              0xa0   sp+0x10  UNKNOWN  
kstrtoint_from_user                            0x80   sp+0x10  UNKNOWN  
kstrtobool_from_user                           0x40   sp+0x4   UNKNOWN  
gpio_ioctl                                     0x2e0  sp+0x20  0x250    
gpio_ioctl                                     0x2e0  sp+0x20  0x4      
gpio_ioctl                                     0x2e0  sp+0x20  0x30     
gpio_ioctl                                     0x2e0  sp+0x20  0x16c    
lineinfo_get                                   0x150  sp+0x8   0x100    
