[+] copy_from_user symbols: 224
[+] sweep done: 96819 bl sites, funcs with subs: 17777
[+] copy_from_user call sites: 645

===== 鏍″噯閿氱偣 =====
__arm64_sys_select             depth=0x080 (鏈熸湜 0x1f0) __arm64_sys_select(0x80)

===== 鏍堢洰鏍囧€欓€? 433 涓?=====
func                                           frame  imm      size     depth(s)
l2cap_sock_setsockopt_old                      0x60   sp+0x4   0x4      
sco_sock_setsockopt                            0x60   sp+0x10  0x2      
sco_sock_setsockopt                            0x60   sp+0xc   0x4      
sco_sock_setsockopt                            0x60   sp+0xc   0x4      
force_no_mitm_write                            0x70   sp+0x8   UNKNOWN  
rfcomm_sock_setsockopt                         0x60   sp+0x10  0x2      
rfcomm_sock_setsockopt                         0x60   sp+0xc   0x4      
__rfcomm_create_dev                            0x70   sp+0x10  arg2     
__rfcomm_release_dev                           0x80   sp+0x10  arg2     
rfcomm_get_dev_info                            0x60   sp+0x10  arg2     
hidp_sock_ioctl                                0x200  sp+0x20  0x94     
hidp_sock_ioctl                                0x200  sp+0x0   0x10     
hidp_sock_ioctl                                0x200  sp+0xb8  0xa8     
hidp_sock_ioctl                                0x200  sp+0x10  0xc      
hidp_sock_compat_ioctl                         0x1b0  sp+0xa8  0xa0     
pppol2tp_ioctl                                 0x80   sp+0x0   0x48     
wext_handle_ioctl                              0x60   sp+0x8   0x20     
tipc_ioctl                                     0xa0   sp+0x0   0x4c     
tipc_setsockopt                                0x70   sp+0x4   0x4      
tipc_setsockopt                                0x70   sp+0x8   0x10     
rfkill_fop_write                               0x40   sp+0x0   UNKNOWN  
nfc_llcp_setsockopt                            0x40   sp+0x4   UNKNOWN  
nfc_llcp_setsockopt                            0x40   sp+0x4   UNKNOWN  
vsock_stream_setsockopt                        0x70   sp+0x10  0x8      
vsock_stream_setsockopt                        0x70   sp+0x10  0x8      
vsock_stream_setsockopt                        0x70   sp+0x10  0x8      
vsock_stream_setsockopt                        0x70   sp+0x0   0x10     
xsk_setsockopt                                 0x60   sp+0x8   0x4      
xsk_setsockopt                                 0x60   sp+0x8   0x4      
xsk_setsockopt                                 0x60   sp+0x8   UNKNOWN  

===== 绐楀彛 [0x2e0, 0x380] 鍛戒腑 =====
