===== preload.so crash-safe log =====
path=/data/local/tmp/.temp/log_1788952722.txt tmp=- pid=6121 uid=2000
1788952722.290 6121 [+] preload starting pid=6121
1788952722.291 6121 [+] startup context pid=6121 uid=2000 euid=2000 gid=2000 egid=2000 attr=u:r:shell:s0 enforce=1
1788952722.292 6121 [+] build config pid=6121 label=pd2238_os6_163150_w10 slide=pselect main=pselect
1788952722.292 6121 [+] p0 profile pid=6121 phys_offset=0000000040000000 kernel_phys_load=0000000040000000 delta=0000000000000000 init_task=ffffffc00aaec240 root_tg=ffffffc00ad33100
1788952722.293 6121 [+] direct-map base=ffffff8040000000 slide=0000000000000000
1788952722.296 6121 [+] ckpt: WRITE-PROOF armed bootid_store=ffffff8042ee9110 bootid_buf=ffffff8042ee910d before=31638d59-7c3a-4556-a71c-b20baa9b3a7e (odd: leaked scratch, even: aligned bootid+3)
1788952724.833 6121 [*] parameters cpu (16) mm_struct sz (3c0) mm slab order (3) thread cnt (8) collisions (16) mte disabled
1788952728.122 6121 [*] pile-up verified: approx_time=2848
1788952728.124 6121 [*] start finding collisisons
1788952728.125 6121 [*] target    0000007f6821b0c8
1788952749.526 6121 [*] [  4] tested 3300000 candidates, scanning=0xffffffa0b826da00
1788952749.528 6121 [*] [  1] tested 2400000 candidates, scanning=0xffffff8885edb480
1788952749.528 6121 [*] [  5] tested 3000000 candidates, scanning=0xffffffa8a76921c0
1788952749.529 6121 [*] [  7] tested 2200000 candidates, scanning=0xffffffb87ac48f00
1788952749.525 6121 [*] [  2] tested 2900000 candidates, scanning=0xffffff90a1d48f00
1788952749.529 6121 [*] [  0] tested 2700000 candidates, scanning=0xffffff8096ab6cc0
1788952749.530 6121 [*] [  3] tested 2900000 candidates, scanning=0xffffff98a1d48f00
1788952749.531 6121 [*] [  1] tested 2500000 candidates, scanning=0xffffff888b824740
1788952749.531 6121 [*] [  4] tested 3400000 candidates, scanning=0xffffffa0bdbb6cc0
1788952749.532 6121 [*] [  6] tested 2800000 candidates, scanning=0xffffffb09c3fff80
1788952749.532 6121 [*] [  0] tested 2800000 candidates, scanning=0xffffff809c3fff80
1788952749.533 6121 [*] [  3] tested 3000000 candidates, scanning=0xffffff98a76921c0
1788952749.534 6121 [*] [  2] tested 3000000 candidates, scanning=0xffffff90a76921c0
1788952749.534 6121 [*] [  4] tested 3500000 candidates, scanning=0xffffffa0c34fff80
1788952749.535 6121 [*] [  5] tested 3100000 candidates, scanning=0xffffffa8acfdb480
1788952749.537 6121 [*] [  3] tested 3100000 candidates, scanning=0xffffff98acfdb480
1788952749.538 6121 [*] [  7] tested 2300000 candidates, scanning=0xffffffb8805921c0
1788952749.536 6121 [*] [  6] tested 2900000 candidates, scanning=0xffffffb0a1d48f00
1788952749.537 6121 [*] [  0] tested 2900000 candidates, scanning=0xffffff80a1d48f00
1788952749.539 6121 [*] [  4] tested 3600000 candidates, scanning=0xffffffa0c8e48f00
1788952749.539 6121 [*] [  1] tested 2600000 candidates, scanning=0xffffff889116da00
1788952749.540 6121 [*] [  5] tested 3200000 candidates, scanning=0xffffffa8b2924740
